Training Statistics for AE_allbus
==================================================

Episode   36: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   36: Loss=  0.0035, Violations=   0, Proj=   0, Fallback=   0
Episode   36: Loss=  0.0033, Violations=   0, Proj=   0, Fallback=   0
Episode   37: Loss=  0.0030, Violations=   0, Proj=   0, Fallback=   0
Episode   37: Loss=  0.0026, Violations=   0, Proj=   0, Fallback=   0
Episode   37: Loss=  0.0023, Violations=   0, Proj=   0, Fallback=   0
Episode   37: Loss=  0.0019, Violations=   0, Proj=   0, Fallback=   0
Episode   38: Loss=  0.0015, Violations=   0, Proj=   0, Fallback=   0
Episode   38: Loss=  0.0011, Violations=   0, Proj=   0, Fallback=   0
Episode   38: Loss=  0.0007, Violations=   0, Proj=   0, Fallback=   0
Episode   38: Loss=  0.0004, Violations=   0, Proj=   0, Fallback=   0
Episode   39: Loss=  0.0002, Violations=   0, Proj=   0, Fallback=   0
Episode   39: Loss=  0.0001, Violations=   0, Proj=   0, Fallback=   0
Episode   39: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   39: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   40: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   40: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   40: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   40: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   41: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   41: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   41: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   41: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   42: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   42: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   42: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   42: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   43: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   43: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   43: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   43: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   44: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   44: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   44: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   44: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   45: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   45: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   45: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   45: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   46: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   46: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   46: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   46: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   47: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   47: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   47: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   47: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   48: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   48: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   48: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   48: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   49: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   49: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   49: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   49: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   50: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   50: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   50: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   50: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   51: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   51: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   51: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   51: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   52: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   52: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
